,year,month,decimal,average,trend
0,1980,1,1980.042,338.55,337.93
1,1980,2,1980.125,339.27,338.22
2,1980,3,1980.208,339.6,338.25
3,1980,4,1980.292,339.99,338.37
4,1980,5,1980.375,340.43,338.9
5,1980,6,1980.458,339.99,339.2
6,1980,7,1980.542,338.44,339.3
7,1980,8,1980.625,337.21,339.49
8,1980,9,1980.708,337.05,339.45
9,1980,10,1980.792,337.82,339.16
10,1980,11,1980.875,338.93,339.26
11,1980,12,1980.958,339.64,339.4
12,1981,1,1981.042,340.19,339.55
13,1981,2,1981.125,340.75,339.7
14,1981,3,1981.208,341.38,340.03
15,1981,4,1981.292,341.68,340.06
16,1981,5,1981.375,341.43,339.89
17,1981,6,1981.458,340.62,339.84
18,1981,7,1981.542,339.22,340.08
19,1981,8,1981.625,338.08,340.36
20,1981,9,1981.708,337.97,340.36
21,1981,10,1981.792,339.07,340.42
22,1981,11,1981.875,340.18,340.5
23,1981,12,1981.958,340.75,340.51
24,1982,1,1982.042,341.37,340.76
25,1982,2,1982.125,341.95,340.89
26,1982,3,1982.208,342.23,340.85
27,1982,4,1982.292,342.52,340.9
28,1982,5,1982.375,342.36,340.82
29,1982,6,1982.458,341.49,340.72
30,1982,7,1982.542,339.75,340.61
31,1982,8,1982.625,338.11,340.4
32,1982,9,1982.708,338.16,340.54
33,1982,10,1982.792,339.62,340.96
34,1982,11,1982.875,340.95,341.28
35,1982,12,1982.958,341.77,341.52
36,1983,1,1983.042,342.37,341.71
37,1983,2,1983.125,342.74,341.71
38,1983,3,1983.208,343.04,341.7
39,1983,4,1983.292,343.51,341.93
40,1983,5,1983.375,343.84,342.31
41,1983,6,1983.458,343.5,342.7
42,1983,7,1983.542,342.14,342.91
43,1983,8,1983.625,340.62,342.85
44,1983,9,1983.708,340.53,342.94
45,1983,10,1983.792,341.75,343.16
46,1983,11,1983.875,342.83,343.18
47,1983,12,1983.958,343.49,343.27
48,1984,1,1984.042,344.32,343.66
49,1984,2,1984.125,344.82,343.82
50,1984,3,1984.208,344.96,343.6
51,1984,4,1984.292,345.19,343.56
52,1984,5,1984.375,345.33,343.78
53,1984,6,1984.458,344.57,343.8
54,1984,7,1984.542,343.2,344.02
55,1984,8,1984.625,342.21,344.5
56,1984,9,1984.708,342.13,344.58
57,1984,10,1984.792,342.99,344.37
58,1984,11,1984.875,344.16,344.47
59,1984,12,1984.958,345.0,344.71
60,1985,1,1985.042,345.36,344.66
61,1985,2,1985.125,345.8,344.77
62,1985,3,1985.208,346.64,345.32
63,1985,4,1985.292,346.94,345.33
64,1985,5,1985.375,346.77,345.2
65,1985,6,1985.458,346.26,345.47
66,1985,7,1985.542,344.92,345.75
67,1985,8,1985.625,343.41,345.73
68,1985,9,1985.708,343.37,345.82
69,1985,10,1985.792,344.64,346.03
70,1985,11,1985.875,345.79,346.11
71,1985,12,1985.958,346.55,346.25
72,1986,1,1986.042,347.11,346.43
73,1986,2,1986.125,347.34,346.34
74,1986,3,1986.208,347.71,346.38
75,1986,4,1986.292,348.22,346.61
76,1986,5,1986.375,348.32,346.75
77,1986,6,1986.458,347.76,346.99
78,1986,7,1986.542,346.3,347.15
79,1986,8,1986.625,344.92,347.22
80,1986,9,1986.708,344.86,347.26
81,1986,10,1986.792,346.04,347.4
82,1986,11,1986.875,347.3,347.63
83,1986,12,1986.958,347.76,347.46
84,1987,1,1987.042,348.02,347.24
85,1987,2,1987.125,348.57,347.48
86,1987,3,1987.208,349.29,347.87
87,1987,4,1987.292,349.98,348.3
88,1987,5,1987.375,350.26,348.69
89,1987,6,1987.458,349.48,348.81
90,1987,7,1987.542,347.86,348.85
91,1987,8,1987.625,346.61,349.0
92,1987,9,1987.708,346.7,349.14
93,1987,10,1987.792,347.97,349.36
94,1987,11,1987.875,349.25,349.57
95,1987,12,1987.958,350.21,349.89
96,1988,1,1988.042,350.91,350.12
97,1988,2,1988.125,351.47,350.38
98,1988,3,1988.208,351.85,350.38
99,1988,4,1988.292,352.3,350.52
100,1988,5,1988.375,352.46,350.83
101,1988,6,1988.458,351.76,351.06
102,1988,7,1988.542,350.28,351.27
103,1988,8,1988.625,349.1,351.55
104,1988,9,1988.708,349.27,351.79
105,1988,10,1988.792,350.44,351.86
106,1988,11,1988.875,351.61,351.96
107,1988,12,1988.958,352.46,352.18
108,1989,1,1989.042,353.0,352.17
109,1989,2,1989.125,353.46,352.34
110,1989,3,1989.208,354.0,352.57
111,1989,4,1989.292,354.38,352.6
112,1989,5,1989.375,354.19,352.51
113,1989,6,1989.458,353.26,352.56
114,1989,7,1989.542,351.56,352.59
115,1989,8,1989.625,350.21,352.7
116,1989,9,1989.708,350.56,353.09
117,1989,10,1989.792,351.85,353.28
118,1989,11,1989.875,353.03,353.38
119,1989,12,1989.958,353.9,353.59
120,1990,1,1990.042,354.46,353.71
121,1990,2,1990.125,354.87,353.8
122,1990,3,1990.208,355.19,353.77
123,1990,4,1990.292,355.5,353.73
124,1990,5,1990.375,355.4,353.73
125,1990,6,1990.458,354.33,353.68
126,1990,7,1990.542,352.71,353.8
127,1990,8,1990.625,351.58,354.09
128,1990,9,1990.708,351.8,354.32
129,1990,10,1990.792,353.19,354.58
130,1990,11,1990.875,354.43,354.71
131,1990,12,1990.958,355.18,354.72
132,1991,1,1991.042,355.76,354.99
133,1991,2,1991.125,356.19,355.08
